slug,scientific_name,common_name,genus,family
rosa-gallica,Rosa gallica,Hungarian rose,Rosa,Rosaceae
rosmarinus-officinalis,Rosmarinus officinalis,Rosemary,Rosmarinus,Lamiaceae
rubia-tinctorum,Rubia tinctorum,Dyer's madder,Rubia,Rubiaceae
rubus-fruticosus,Rubus fruticosus,,Rubus,Rosaceae
rubus-idaeus,Rubus idaeus,Raspberry,Rubus,Rosaceae
rumex-acetosella,Rumex acetosella,Field sorrel,Rumex,Polygonaceae
rumex-crispus,Rumex crispus,Curled dock,Rumex,Polygonaceae
ruscus-aculeatus,Ruscus aculeatus,Box-holly,Ruscus,Asparagaceae
ruta-graveolens,Ruta graveolens,Rue,Ruta,Rutaceae
salix-alba,Salix alba,White willow,Salix,Salicaceae
salvia-miltiorrhiza,Salvia miltiorrhiza,,Salvia,Lamiaceae
salvia-officinalis,Salvia officinalis,Sage,Salvia,Lamiaceae
salvia-sclarea,Salvia sclarea,Clary,Salvia,Lamiaceae
sambucus-nigra,Sambucus nigra,Elder,Sambucus,Viburnaceae
sanguinaria-canadensis,Sanguinaria canadensis,Red puccoon,Sanguinaria,Papaveraceae
sanguisorba-officinalis,Sanguisorba officinalis,Burnet bloodwort,Sanguisorba,Rosaceae
sanicula-europaea,Sanicula europaea,European sanicle,Sanicula,Apiaceae
santalum-album,Santalum album,East indian sandalwood,Santalum,Santalaceae
saponaria-officinalis,Saponaria officinalis,Bouncing-bet,Saponaria,Caryophyllaceae
satureja-montana,Satureja montana,Savory,Satureja,Lamiaceae
schisandra-chinensis,Schisandra chinensis,Magnolia-vine,Schisandra,Schisandraceae
scrophularia-nodosa,Scrophularia nodosa,Figwort,Scrophularia,Scrophulariaceae
scutellaria-baicalensis,Scutellaria baicalensis,Baikal skullcap,Scutellaria,Lamiaceae
scutellaria-lateriflora,Scutellaria lateriflora,Scullcap,Scutellaria,Lamiaceae
selenicereus-grandiflorus,Selenicereus grandiflorus,Night-blooming cereus,Selenicereus,Cactaceae
sempervivum-tectorum,Sempervivum tectorum,Houseleek,Sempervivum,Crassulaceae
senecio-aureus,Senecio aureus,,Senecio,Asteraceae
serenoa-repens,Serenoa repens,Saw palmetto,Serenoa,Arecaceae
sesamum-indicum,Sesamum indicum,Sesame,Sesamum,Pedaliaceae
silybum-marianum,Silybum marianum,Variegated artichoke,Silybum,Asteraceae
solanum-dulcamara,Solanum dulcamara,Bitter nightshade,Solanum,Solanaceae
solanum-melongena,Solanum melongena,Aubergine,Solanum,Solanaceae
solanum-tuberosum,Solanum tuberosum,Potato,Solanum,Solanaceae
solidago-virgaurea,Solidago virgaurea,European goldenrod,Solidago,Asteraceae
sorbus-aucuparia,Sorbus aucuparia,Quickbeam,Sorbus,Rosaceae
spigelia-marilandica,Spigelia marilandica,Indian-pink,Spigelia,Loganiaceae
stachys-officinalis,Stachys officinalis,Betony,Stachys,Lamiaceae
stellaria-media,Stellaria media,Common chickweed,Stellaria,Caryophyllaceae
stillingia-sylvatica,Stillingia sylvatica,Queen's-delight,Stillingia,Euphorbiaceae
strychnos-nux-vomica,Strychnos nux-vomica,Strychninetree,Strychnos,Loganiaceae
styrax-benzoin,Styrax benzoin,,Styrax,Styracaceae
swertia-chirata,Swertia chirata,,Swertia,Gentianaceae
symphytum-officinale,Symphytum officinale,Healingherb,Symphytum,Boraginaceae
symplocarpus-foetidus,Symplocarpus foetidus,Polecatweed,Symplocarpus,Araceae
syzygium-cumini,Syzygium cumini,Jambolan,Syzygium,Myrtaceae
tabebuia-rosea,Tabebuia rosea,Pink poui,Tabebuia,Bignoniaceae
tamarindus-indica,Tamarindus indica,Tamarind,Tamarindus,Fabaceae
tanacetum-parthenium,Tanacetum parthenium,Feverfew,Tanacetum,Asteraceae
tanacetum-vulgare,Tanacetum vulgare,Golden-buttons,Tanacetum,Asteraceae
taraxacum-officinale,Taraxacum officinale,,Taraxacum,Asteraceae
taxus-baccata,Taxus baccata,Yew,Taxus,Taxaceae
terminalia-arjuna,Terminalia arjuna,Arjun,Terminalia,Combretaceae
terminalia-chebula,Terminalia chebula,Chebulic myrobalan,Terminalia,Combretaceae
theobroma-cacao,Theobroma cacao,Cocoa,Theobroma,Malvaceae
thuja-occidentalis,Thuja occidentalis,Northern white-cedar,Thuja,Cupressaceae
thymus-serpyllum,Thymus serpyllum,Breckland thyme,Thymus,Lamiaceae
thymus-vulgaris,Thymus vulgaris,Garden thyme,Thymus,Lamiaceae
tilia-cordata,Tilia cordata,Linden,Tilia,Malvaceae
trifolium-pratense,Trifolium pratense,Cowgrass clover,Trifolium,Fabaceae
trigonella-foenum-graecum,Trigonella foenum-graecum,Fenugreek,Trigonella,Fabaceae
trillium-erectum,Trillium erectum,Birthroot,Trillium,Melanthiaceae
tropaeolum-majus,Tropaeolum majus,Garden nasturtium,Tropaeolum,Tropaeolaceae
tsuga-canadensis,Tsuga canadensis,Eastern hemlock,Tsuga,Pinaceae
turnera-diffusa,Turnera diffusa,Damiana,Turnera,Passifloraceae
tussilago-farfara,Tussilago farfara,Coltsfoot,Tussilago,Asteraceae
typha-angustifolia,Typha angustifolia,Narrow-leaf cattail,Typha,Typhaceae
ulmus-rubra,Ulmus rubra,Slippery elm,Ulmus,Ulmaceae
uncaria-rhynchophylla,Uncaria rhynchophylla,,Uncaria,Rubiaceae
uncaria-tomentosa,Uncaria tomentosa,Cat's claw,Uncaria,Rubiaceae
urtica-dioica,Urtica dioica,Common nettle,Urtica,Urticaceae
vaccinium-macrocarpon,Vaccinium macrocarpon,American cranberry,Vaccinium,Ericaceae
vaccinium-myrtillus,Vaccinium myrtillus,European blueberry,Vaccinium,Ericaceae
valeriana-officinalis,Valeriana officinalis,Garden-heliotrope,Valeriana,Caprifoliaceae
verbascum-thapsus,Verbascum thapsus,Common mullein,Verbascum,Scrophulariaceae
verbena-officinalis,Verbena officinalis,Official vervain,Verbena,Verbenaceae
veronica-officinalis,Veronica officinalis,Heath speedwell,Veronica,Plantaginaceae
viburnum-opulus,Viburnum opulus,Crampbark,Viburnum,Viburnaceae
viburnum-prunifolium,Viburnum prunifolium,Black haw,Viburnum,Viburnaceae
vinca-minor,Vinca minor,Common periwinkle,Vinca,Apocynaceae
viola-odorata,Viola odorata,Garden violet,Viola,Violaceae
viola-tricolor,Viola tricolor,Johnny-jump-up,Viola,Violaceae
viscum-album,Viscum album,Mistletoe,Viscum,Santalaceae
vitex-agnus-castus,Vitex agnus-castus,Chasteberry,Vitex,Lamiaceae
vitis-vinifera,Vitis vinifera,European grape,Vitis,Vitaceae
withania-somnifera,Withania somnifera,Winter-cherry,Withania,Solanaceae
zanthoxylum-americanum,Zanthoxylum americanum,Northern prickly-ash,Zanthoxylum,Rutaceae
zea-mays,Zea mays,Maize,Zea,Poaceae
zingiber-officinale,Zingiber officinale,Ginger,Zingiber,Zingiberaceae
ziziphus-jujuba,Ziziphus jujuba,Chinese jujube,Ziziphus,Rhamnaceae
acer-platanoides,Acer platanoides,Norway maple,Acer,Sapindaceae
acer-pseudoplatanus,Acer pseudoplatanus,Sycamore maple,Acer,Sapindaceae
agrostis-capillaris,Agrostis capillaris,New zealand bent grass,Agrostis,Poaceae
agrostis-stolonifera,Agrostis stolonifera,Spreading bent,Agrostis,Poaceae
alliaria-petiolata,Alliaria petiolata,Garlic mustard,Alliaria,Brassicaceae
alnus-glutinosa,Alnus glutinosa,European alder,Alnus,Betulaceae
angelica-sylvestris,Angelica sylvestris,Wild angelica,Angelica,Apiaceae
anthoxanthum-odoratum,Anthoxanthum odoratum,Scented vernal grass,Anthoxanthum,Poaceae
anthriscus-sylvestris,Anthriscus sylvestris,Cow-parsley,Anthriscus,Apiaceae
arrhenatherum-elatius,Arrhenatherum elatius,Ray-grass-de-france,Arrhenatherum,Poaceae
bellis-perennis,Bellis perennis,Daisy,Bellis,Asteraceae
cardamine-pratensis,Cardamine pratensis,Meadow cress,Cardamine,Brassicaceae
cirsium-arvense,Cirsium arvense,California thistle,Cirsium,Asteraceae
cirsium-palustre,Cirsium palustre,Marsh thistle,Cirsium,Asteraceae
cirsium-vulgare,Cirsium vulgare,Black thistle,Cirsium,Asteraceae
cistus-ladanifer,Cistus ladanifer,Common gum cistus,Cistus,Cistaceae
corylus-avellana,Corylus avellana,European filbert,Corylus,Betulaceae
crataegus-monogyna,Crataegus monogyna,Hawthorn,Crataegus,Rosaceae
dactylis-glomerata,Dactylis glomerata,Barnyard grass,Dactylis,Poaceae
deschampsia-cespitosa,Deschampsia cespitosa,Tufted hairgrass,Deschampsia,Poaceae
elymus-repens,Elymus repens,Quackgrass,Elymus,Poaceae
fagus-sylvatica,Fagus sylvatica,Beech,Fagus,Fagaceae
festuca-rubra,Festuca rubra,Red fescue,Festuca,Poaceae
heracleum-sphondylium,Heracleum sphondylium,Cow-parsnip,Heracleum,Apiaceae
holcus-lanatus,Holcus lanatus,Yorkshire-fog,Holcus,Poaceae
juncus-effusus,Juncus effusus,Soft rush,Juncus,Juncaceae
lathyrus-pratensis,Lathyrus pratensis,Meadow vetchling,Lathyrus,Fabaceae
lolium-perenne,Lolium perenne,Perennial ryegrass,Lolium,Poaceae
lotus-corniculatus,Lotus corniculatus,Common bird's-foot trefoil,Lotus,Fabaceae
molinia-caerulea,Molinia caerulea,Purple moor grass,Molinia,Poaceae
phalaris-arundinacea,Phalaris arundinacea,Gardener's-garters,Phalaris,Poaceae
phragmites-australis,Phragmites australis,Ditch reed,Phragmites,Poaceae
picea-abies,Picea abies,Common spruce,Picea,Pinaceae
pinus-pinaster,Pinus pinaster,Cluster pine,Pinus,Pinaceae
poa-annua,Poa annua,Annual bluegrass,Poa,Poaceae
poa-pratensis,Poa pratensis,Smooth meadow grass,Poa,Poaceae
poa-trivialis,Poa trivialis,Rough bluegrass,Poa,Poaceae
prunus-spinosa,Prunus spinosa,Sloe,Prunus,Rosaceae
pteridium-aquilinum,Pteridium aquilinum,Bracken,Pteridium,Dennstaedtiaceae
quercus-rotundifolia,Quercus rotundifolia,Evergreen oak,Quercus,Fagaceae
quercus-suber,Quercus suber,Cork oak,Quercus,Fagaceae
ranunculus-acris,Ranunculus acris,Meadow buttercup,Ranunculus,Ranunculaceae
ranunculus-repens,Ranunculus repens,Creeping buttercup,Ranunculus,Ranunculaceae
rumex-acetosa,Rumex acetosa,Garden sorrel,Rumex,Polygonaceae
trifolium-repens,Trifolium repens,Dutch clover,Trifolium,Fabaceae
veronica-chamaedrys,Veronica chamaedrys,Germander speedwell,Veronica,Plantaginaceae
vicia-cracca,Vicia cracca,Cow vetch,Vicia,Fabaceae
